“sample”,”error_0","error_1_e_minus_5","error_1_e_minus_4","error_1_e_minus_3","error_1_e_minus_2","error_1_e_minus_1","error_2_e_minus_1","error_3_e_minus_1","error_4_e_minus_1","error_5_e_minus_1","error_6_e_minus_1","error_7_e_minus_1","error_8_e_minus_1"
"88",32,40,71,62,125,437,795,1349,1820,2450,3896,5622,9469
"89",35,46,53,62,105,376,904,1272,1645,2219,3543,5827,8670
"90",40,44,71,82,147,433,777,1159,1810,2292,3713,5644,9712
"91",35,42,83,78,136,387,714,1188,1925,2277,3695,5582,9534
"92",39,49,37,73,128,367,836,1161,1696,2321,3898,5441,9732
"93",39,50,31,79,124,454,758,1261,1861,2256,3407,5260,8980
"94",40,43,48,69,130,388,834,1101,1724,2337,3712,5747,10098
"95",37,53,48,84,120,415,825,1178,2001,2320,3748,5886,10066
"96",38,54,61,76,106,347,774,1240,1798,2429,3492,5423,10043
"97",44,55,69,83,120,469,797,1224,1770,2290,3813,5804,9416
"98",42,65,72,55,121,351,778,1182,1868,2255,3624,5453,9248
"99",41,31,58,57,103,411,744,1211,1705,2450,3720,5655,9535
"100",37,33,52,58,113,440,809,1165,1695,2433,3731,5615,9207
"101",49,36,73,76,149,433,774,1321,1824,2402,3721,5434,9456
"102",40,58,69,75,104,389,816,1102,1724,2399,3574,5384,9577
"103",37,51,31,65,104,372,792,1295,1740,2257,3686,5475,9529
"104",31,50,46,58,123,456,764,1134,1686,2528,3621,5738,9827
"105",30,57,62,78,143,397,777,1126,1762,2443,3441,5488,9816
"106",30,59,53,64,136,413,818,1193,1830,2578,3481,5480,8971
"107",32,57,56,70,111,386,865,1119,1722,2267,3417,5635,9465
"108",29,61,64,79,134,498,799,1122,1763,2553,3899,6028,9749
"109",32,70,72,81,133,448,834,1190,1615,2200,3552,6042,9028
"110",36,33,55,67,111,372,744,1133,1687,2511,3655,5562,9272
"111",33,34,50,73,128,442,700,1179,1827,2603,3588,5550,9467
"112",34,38,62,70,150,383,784,1190,1642,2557,3724,5626,10025
"113",36,38,53,84,134,401,761,1198,1637,2240,4171,5444,9716
"114",33,40,67,85,121,491,776,1184,1765,2437,3743,5414,9505
"115",37,41,65,90,108,430,754,1161,1671,2226,3583,5519,9296
"116",41,48,72,96,117,426,839,1215,1829,2271,3356,5798,9159
